Ref,Val,Package,PosX,PosY,Rot,Side
"R82","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-209.715300,-74.244200,0.000000,bottom
"R83","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-209.559000,-42.418000,0.000000,bottom
"R84","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-208.975200,-61.620400,0.000000,bottom
"R85","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-209.740700,-78.435200,0.000000,bottom
"R86","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-209.618800,-36.220400,0.000000,bottom
"R87","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-209.550000,-44.450000,0.000000,bottom
"R88","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-208.986100,-55.524400,0.000000,bottom
"R89","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-208.975200,-63.652400,0.000000,bottom
"R90","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-209.697300,-72.212200,0.000000,bottom
"R91","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-209.722700,-80.467200,0.000000,bottom
"R101","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-237.956600,-105.791000,0.000000,bottom
"R102","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-239.810800,-116.890800,180.000000,bottom
"R114","22R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-266.480800,-95.681800,180.000000,bottom
"R115","22R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-253.958600,-96.621600,0.000000,bottom
"R116","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-210.836000,-93.218000,180.000000,bottom
"R117","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-210.857500,-95.504000,180.000000,bottom
"R118","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-216.440000,-101.838000,-90.000000,bottom
"R119","47K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-210.836000,-91.084400,180.000000,bottom
"R120","33K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-218.726000,-101.838000,-90.000000,bottom
"R121","47K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-210.912200,-97.637600,180.000000,bottom
"R128","22R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-210.836000,-88.950800,0.000000,bottom
"R129","22R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-210.861400,-99.745800,0.000000,bottom
"R130","22R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-220.758000,-101.870000,90.000000,bottom
